sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","savedsearch_name","scan_count",status,"total_run_time","ui_dispatch_view","api_et","search_et","api_lt","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_ui_dispatch_view","__mv_api_et","__mv_search_et","__mv_api_lt","__mv_search_lt"
"admin__admin__browsers__search1_1517342999.253","search index=browsers | top os_user","Jonathons-MacBook-Air.local","1517342999.882670",0,"UI:Dashboard:overview",12954,1517343000,1,search1,12954,completed,"1.645340871",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search2_1517343002.260","search index=browsers sourcetype=""history"" os_user=""*"" | stats count by browser","Jonathons-MacBook-Air.local","1517343002.598007",0,"UI:Dashboard:overview",10856,1517343002,1,search2,10856,completed,"2.384057204",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search3_1517343002.261","search index=browsers sourcetype=""history"" os_user=""*"" | rex field=url ""//(?<domain>[^\/]+)"" | stats count by domain | sort count desc","Jonathons-MacBook-Air.local","1517343002.611133",0,"UI:Dashboard:overview",10856,1517343002,304,search3,10856,completed,"2.980598929",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search4_1517343002.262","search index=browsers sourcetype=""history"" os_user=""*"" | rex field=url ""//(?<domain>[^\/]+)"" | eval mins_ago=floor((now()-_time) /60)  | table title, domain, mins_ago","Jonathons-MacBook-Air.local","1517343002.618811",0,"UI:Dashboard:overview",10856,1517343002,10856,search4,10856,completed,"3.607508612",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search5_1517343002.263","search index=browsers sourcetype=""history"" os_user=""*"" | eval local_date_hour=strftime(_time,""%H"") | chart count by local_date_hour","Jonathons-MacBook-Air.local","1517343002.638766",0,"UI:Dashboard:overview",10856,1517343003,24,search5,10856,completed,"2.358200240",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search6_1517343002.264","search index=browsers sourcetype=""history"" os_user=""*"" | bucket _time span=1d
  | eval DayOfWeekC=strftime(_time, ""%a"")
  | eval DayOfWeekN=strftime(_time, ""%u"")
  | stats count by DayOfWeekN, DayOfWeekC | fields - DayOfWeekN","Jonathons-MacBook-Air.local","1517343002.656841",0,"UI:Dashboard:overview",10856,1517343003,7,search6,10856,completed,"2.702244080",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search7_1517343002.265","search index=browsers sourcetype=""history"" os_user=""*"" | timechart count by browser","Jonathons-MacBook-Air.local","1517343002.662217",0,"UI:Dashboard:overview",10856,1517343003,91,search7,10856,completed,"2.657679972",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search3_1517343103.271","search index=browsers sourcetype=""downloads"" os_user=""*"" browser=* | stats sum(maxBytes) as total | eval total=total/1024/1024/1024 | eval total=round(total, 3)","Jonathons-MacBook-Air.local","1517343103.865837",0,"UI:Dashboard:downloads",2059,1517343104,1,search3,2059,completed,"0.799018952",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search5_1517343103.273","search index=browsers sourcetype=""downloads"" os_user=""*"" browser=* | rex field=target ""(?i)[^\.]*\.(?P<ext>.{0,4})$"" | timechart count by ext","Jonathons-MacBook-Air.local","1517343103.881236",0,"UI:Dashboard:downloads",2059,1517343104,13,search5,2059,completed,"0.878038078",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search4_1517343194.274","search index=browsers sourcetype=""downloads"" os_user=""*"" browser=* | table _time, target","Jonathons-MacBook-Air.local","1517343194.489204",0,"UI:Dashboard:downloads",2059,1517343194,2059,search4,2059,completed,"0.381210372",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search4_1517343237.277","search index=browsers sourcetype=""downloads"" os_user=""*"" browser=* | table _time, target | sort - _time","Jonathons-MacBook-Air.local","1517343237.849607",0,"UI:Dashboard:downloads",2059,1517343237,2059,search4,2059,completed,"0.394168808",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search3_1517343293.278","search index=browsers sourcetype=""downloads"" os_user=""jonathon"" browser=* | stats sum(maxBytes) as total | eval total=total/1024/1024/1024 | eval total=round(total, 3)","Jonathons-MacBook-Air.local","1517343293.990140",0,"UI:Dashboard:downloads",2059,1517343294,1,search3,2059,completed,"0.552795822",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search5_1517343294.279","search index=browsers sourcetype=""downloads"" os_user=""jonathon"" browser=* | rex field=target ""(?i)[^\.]*\.(?P<ext>.{0,4})$"" | timechart count by ext","Jonathons-MacBook-Air.local","1517343294.009842",0,"UI:Dashboard:downloads",2059,1517343294,13,search5,2059,completed,"0.636514274",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search4_1517343294.280","search index=browsers sourcetype=""downloads"" os_user=""jonathon"" browser=* | table _time, target | sort - _time","Jonathons-MacBook-Air.local","1517343294.016505",0,"UI:Dashboard:downloads",2059,1517343294,2059,search4,2059,completed,"0.649797402",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search2_1517343312.281","search index=browsers sourcetype=""local"" os_user=""*"" | rex field=url ""(?i)file:///(?P<drive>[^:]+)"" | timechart count by drive","Jonathons-MacBook-Air.local","1517343312.879399",0,"UI:Dashboard:local",0,1517343312,0,search2,0,completed,"0.456602842",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search3_1517343312.282","search index=browsers sourcetype=""local"" os_user=""*"" | top url | table url,count","Jonathons-MacBook-Air.local","1517343312.889187",0,"UI:Dashboard:local",0,1517343312,0,search3,0,completed,"0.446688099",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search4_1517343312.283","search index=browsers sourcetype=""local"" os_user=""*"" | where like(url, ""%.jpg"") OR like(url, ""%.png"") | eval url=replace(url,""file:///"","""") | eval url=urldecode(url) | table url, _time","Jonathons-MacBook-Air.local","1517343312.902582",0,"UI:Dashboard:local",0,1517343313,0,search4,0,completed,"0.443623150",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search5_1517343312.284","search index=browsers sourcetype=""local"" os_user=""*"" | where like(url, ""%.doc"") OR like(url, ""%.docx"") OR like(url, ""%.xsl"") OR like(url, ""%.xslx"") OR like(url, ""%.ppt"") OR like(url, ""%.pptx"") OR like(url, ""%.pdf"") | eval url=replace(url,""file:///"","""") | eval url=urldecode(url) | table url, _time","Jonathons-MacBook-Air.local","1517343312.907761",0,"UI:Dashboard:local",0,1517343313,0,search5,0,completed,"0.439936510",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search2_1517343342.285","search index=browsers sourcetype=""local"" os_user=""*"" | rex field=url ""(?i)file:///(?P<drive>[^:]+)"" | timechart count by drive","Jonathons-MacBook-Air.local","1517343342.788049",0,"UI:Dashboard:local",0,1517343343,0,search2,0,completed,"0.641086609",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search3_1517343342.286","search index=browsers sourcetype=""local"" os_user=""*"" | top url | table url,count","Jonathons-MacBook-Air.local","1517343342.791702",0,"UI:Dashboard:local",0,1517343343,0,search3,0,completed,"0.622836518",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search4_1517343342.287","search index=browsers sourcetype=""local"" os_user=""*"" | where like(url, ""%.jpg"") OR like(url, ""%.png"") | eval url=replace(url,""file:///"","""") | eval url=urldecode(url) | table url, _time","Jonathons-MacBook-Air.local","1517343342.795731",0,"UI:Dashboard:local",0,1517343343,0,search4,0,completed,"0.582404790",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search5_1517343342.288","search index=browsers sourcetype=""local"" os_user=""*"" | where like(url, ""%.doc"") OR like(url, ""%.docx"") OR like(url, ""%.xsl"") OR like(url, ""%.xslx"") OR like(url, ""%.ppt"") OR like(url, ""%.pptx"") OR like(url, ""%.pdf"") | eval url=replace(url,""file:///"","""") | eval url=urldecode(url) | table url, _time","Jonathons-MacBook-Air.local","1517343342.810845",0,"UI:Dashboard:local",0,1517343343,0,search5,0,completed,"0.612842511",,,,,,,,,,,,,,,,,,,,,,,
"md_1517343345.289","| metadata index=browsers type=sources","Jonathons-MacBook-Air.local","1517343345.243107",0,,0,1517343345,1,,0,completed,"0.089171376",dashboard,,,,,,,,,,,,,,,,,,,,,,
"md_1517343345.291","| metadata index=browsers type=sourcetypes","Jonathons-MacBook-Air.local","1517343345.246092",0,,0,1517343345,3,,0,completed,"0.109824777",dashboard,,,,,,,,,,,,,,,,,,,,,,
"md_1517343345.292","| metadata index=browsers type=hosts","Jonathons-MacBook-Air.local","1517343345.370957",0,,0,1517343345,1,,0,completed,"0.075401854",dashboard,,,,,,,,,,,,,,,,,,,,,,
"md_1517343345.293","| metadata index=browsers type=sources","Jonathons-MacBook-Air.local","1517343345.377045",0,,0,1517343345,1,,0,completed,"0.082177903",dashboard,,,,,,,,,,,,,,,,,,,,,,
"md_1517343345.294","| metadata index=browsers type=sourcetypes","Jonathons-MacBook-Air.local","1517343345.421910",0,,0,1517343345,3,,0,completed,"0.099090444",dashboard,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search1_1517343359.295","search index=browsers | top os_user","Jonathons-MacBook-Air.local","1517343359.168391",0,"UI:Dashboard:overview",12967,1517343359,1,search1,12967,completed,"0.680761515",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search2_1517343360.296","search index=browsers sourcetype=""history"" os_user=""*"" | stats count by browser","Jonathons-MacBook-Air.local","1517343360.218813",0,"UI:Dashboard:overview",10869,1517343360,1,search2,10869,completed,"2.092120540",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search3_1517343360.297","search index=browsers sourcetype=""history"" os_user=""*"" | rex field=url ""//(?<domain>[^\/]+)"" | stats count by domain | sort count desc","Jonathons-MacBook-Air.local","1517343360.235595",0,"UI:Dashboard:overview",10869,1517343360,304,search3,10869,completed,"2.555546037",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search4_1517343360.298","search index=browsers sourcetype=""history"" os_user=""*"" | rex field=url ""//(?<domain>[^\/]+)"" | eval mins_ago=floor((now()-_time) /60)  | table title, domain, mins_ago","Jonathons-MacBook-Air.local","1517343360.250137",0,"UI:Dashboard:overview",10869,1517343360,10869,search4,10869,completed,"3.309979801",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search5_1517343360.299","search index=browsers sourcetype=""history"" os_user=""*"" | eval local_date_hour=strftime(_time,""%H"") | chart count by local_date_hour","Jonathons-MacBook-Air.local","1517343360.285367",0,"UI:Dashboard:overview",10869,1517343360,24,search5,10869,completed,"2.184477913",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search6_1517343360.300","search index=browsers sourcetype=""history"" os_user=""*"" | bucket _time span=1d
  | eval DayOfWeekC=strftime(_time, ""%a"")
  | eval DayOfWeekN=strftime(_time, ""%u"")
  | stats count by DayOfWeekN, DayOfWeekC | fields - DayOfWeekN","Jonathons-MacBook-Air.local","1517343360.402067",0,"UI:Dashboard:overview",10869,1517343360,7,search6,10869,completed,"2.424348592",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search7_1517343360.301","search index=browsers sourcetype=""history"" os_user=""*"" | timechart count by browser","Jonathons-MacBook-Air.local","1517343360.410959",0,"UI:Dashboard:overview",10869,1517343360,91,search7,10869,completed,"2.179189885",,,,,,,,,,,,,,,,,,,,,,,
"1517355984.426","search index=browsers sourcetype=""history"" os_user=""*"" | rex field=url ""//(?<domain>[^\/]+)"" | stats count by domain | sort count desc","Jonathons-MacBook-Air.local","1517355984.193850",0,"UI:Search",10895,1517355984,307,,10895,completed,"1.447736012",,"1370201626.000000000","1370201626.000000000",,,,,,,,,,,,,,,,,,,,
"1517356182.433","search index=browsers sourcetype=""history"" os_user=""*""","Jonathons-MacBook-Air.local","1517356182.852413",0,"UI:Search",10899,1517356183,1000,,10899,completed,"1.508823987",,"1370201626.000000000","1370201626.000000000",,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search2_1517356486.436","search index=browsers sourcetype=""history"" os_user=""jonathon"" | stats count by browser","Jonathons-MacBook-Air.local","1517356486.669401",0,"UI:Dashboard:overview",10904,1517356487,1,search2,10904,completed,"2.336219005",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search3_1517356486.437","search index=browsers sourcetype=""history"" os_user=""jonathon"" | rex field=url ""//(?<domain>[^\/]+)"" | stats count by domain | sort count desc","Jonathons-MacBook-Air.local","1517356486.678623",0,"UI:Dashboard:overview",10904,1517356487,307,search3,10904,completed,"2.932495071",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search4_1517356486.438","search index=browsers sourcetype=""history"" os_user=""jonathon"" | rex field=url ""//(?<domain>[^\/]+)"" | eval mins_ago=floor((now()-_time) /60)  | table title, domain, mins_ago","Jonathons-MacBook-Air.local","1517356486.702625",0,"UI:Dashboard:overview",10904,1517356487,10904,search4,10904,completed,"3.827469903",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search5_1517356486.439","search index=browsers sourcetype=""history"" os_user=""jonathon"" | eval local_date_hour=strftime(_time,""%H"") | chart count by local_date_hour","Jonathons-MacBook-Air.local","1517356486.711421",0,"UI:Dashboard:overview",10904,1517356487,24,search5,10904,completed,"2.309718800",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search6_1517356486.440","search index=browsers sourcetype=""history"" os_user=""jonathon"" | bucket _time span=1d
  | eval DayOfWeekC=strftime(_time, ""%a"")
  | eval DayOfWeekN=strftime(_time, ""%u"")
  | stats count by DayOfWeekN, DayOfWeekC | fields - DayOfWeekN","Jonathons-MacBook-Air.local","1517356486.716224",0,"UI:Dashboard:overview",10904,1517356487,7,search6,10904,completed,"2.692561358",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search7_1517356486.441","search index=browsers sourcetype=""history"" os_user=""jonathon"" | timechart count by browser","Jonathons-MacBook-Air.local","1517356486.732461",0,"UI:Dashboard:overview",10904,1517356487,91,search7,10904,completed,"2.672790141",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search3_1517356500.442","search index=browsers sourcetype=""downloads"" os_user=""*"" browser=* | stats sum(maxBytes) as total | eval total=total/1024/1024/1024 | eval total=round(total, 3)","Jonathons-MacBook-Air.local","1517356500.121789",0,"UI:Dashboard:downloads",2061,1517356500,1,search3,2061,canceled,"0.500327812",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search4_1517356500.443","search index=browsers sourcetype=""downloads"" os_user=""*"" browser=* | table _time, target | sort - _time","Jonathons-MacBook-Air.local","1517356500.142986",0,"UI:Dashboard:downloads",2061,1517356500,2061,search4,2061,canceled,"0.591197093",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search5_1517356500.444","search index=browsers sourcetype=""downloads"" os_user=""*"" browser=* | rex field=target ""(?i)[^\.]*\.(?P<ext>.{0,4})$"" | timechart count by ext","Jonathons-MacBook-Air.local","1517356500.145980",0,"UI:Dashboard:downloads",2061,1517356500,13,search5,2061,canceled,"0.639003008",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search3_1517356504.445","search index=browsers sourcetype=""downloads"" os_user=""*"" browser=* | stats sum(maxBytes) as total | eval total=total/1024/1024/1024 | eval total=round(total, 3)","Jonathons-MacBook-Air.local","1517356504.551070",0,"UI:Dashboard:downloads",3,1517356504,1,search3,3,canceled,"0.383630922",,"1517299200.000000000","1517299200.000000000","1517356504.000000000","1517356504.000000000",,,,,,,,,,,,,,,,,,
"admin__admin__browsers__search4_1517356504.446","search index=browsers sourcetype=""downloads"" os_user=""*"" browser=* | table _time, target | sort - _time","Jonathons-MacBook-Air.local","1517356504.570838",0,"UI:Dashboard:downloads",3,1517356504,3,search4,3,canceled,"0.372633961",,"1517299200.000000000","1517299200.000000000","1517356504.000000000","1517356504.000000000",,,,,,,,,,,,,,,,,,
